Cell line name	Analysis Set Name	COSMIC ID	Sanger_ID	Matched status	GDSC description_1	GDSC description_2	Study Abbreviation	Comment	MMR	Analysis Set	Exome	SNP6	expression	methylation	IC50s	RNA-seq	Comment - genetics
A253	A253	906794	1710STDY5035552	Unmatched	aero_dig_tract	head and neck		submandibular gland carcinoma	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BB30-HNC	BB30-HNC	753531	1710STDY5035555	Matched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BB49-HNC	BB49-HNC	753532	CGP_CCL5103737	Matched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BHY	BHY	753535	1710STDY5035551	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BICR10	BICR10	1290724	CGP_CCL5306254	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
BICR22	BICR22	1240121	1710STDY5035533	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BICR31	BICR31	1290725	CGP_CCL5369281	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
BICR78	BICR78	1240122	1710STDY5035534	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
Ca9-22	Ca9-22	753538	1710STDY5035527	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
CAL-27	CAL-27	910916	CGP_CCL5055372	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
CAL-33	CAL-33	753541	1710STDY5035523	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
Detroit562	Detroit562	906837	1710STDY5035543	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
DOK	DOK	910936	1710STDY5035525	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
FADU	FADU	906863	1710STDY5035548	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes	in-process (CCLE)	
H3118	H3118	1240140	1710STDY5035537	Unmatched	aero_dig_tract	head and neck		parotid gland tumour	MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		Not commercially available
HN	HN	907059	1710STDY5035549	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
HO-1-N-1	HO-1-N-1	924111	1710STDY5035546	Unmatched	aero_dig_tract	head and neck	HNSC		MSI-S	Yes	Yes	Yes	Yes	Yes	Yes		
