#Model	Param	Value	Param2	Value2	Param3	Value3
Model1	TP	176	Specificity	82	Min	2
Model1	FP	110	Precision	62	Max	12
Model1	FN	45	Recall	80	q1	4
Model1	TN	505	NA	0.0	q2	9
Model1	NA	0.0	NA	0.0	median	7.5
Model2	TP	176	Specificity	82	Min	2
Model2	FP	110	Precision	62	Max	12
Model2	FN	45	Recall	80	q1	4
Model2	TN	505	NA	0.0	q2	9
Model2	NA	0.0	NA	0.0	median	7.5
Model3	TP	176	Specificity	82	Min	2
Model3	FP	110	Precision	62	Max	12
Model3	FN	45	Recall	80	q1	4
Model3	TN	505	NA	0.0	q2	9
Model3	NA	0.0	NA	0.0	median	7.5
Model4	TP	176	Specificity	82	Min	2
Model4	FP	110	Precision	62	Max	12
Model4	FN	45	Recall	80	q1	4
Model4	TN	505	NA	0.0	q2	9
Model4	NA	0.0	NA	0.0	median	7.5
Model5	TP	176	Specificity	82	Min	2
Model5	FP	110	Precision	62	Max	12
Model5	FN	45	Recall	80	q1	4
Model5	TN	505	NA	0.0	q2	9
Model5	NA	0.0	NA	0.0	median	7.5
Model6	TP	176	Specificity	82	Min	2
Model6	FP	110	Precision	62	Max	12
Model6	FN	45	Recall	80	q1	4
Model6	TN	505	NA	0.0	q2	9
Model6	NA	0.0	NA	0.0	median	7.5
Model7	TP	176	Specificity	82	Min	2
Model7	FP	110	Precision	62	Max	12
Model7	FN	45	Recall	80	q1	4
Model7	TN	505	NA	0.0	q2	9
Model7	NA	0.0	NA	0.0	median	7.5
Model8	TP	176	Specificity	82	Min	2
Model8	FP	110	Precision	62	Max	12
Model8	FN	45	Recall	80	q1	4
Model8	TN	505	NA	0.0	q2	9
Model8	NA	0.0	NA	0.0	median	7.5
