Cell line ID	Cell line name	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN	ln IC50s	Class label (y)	Weight vector (w)	CV fold 1	CV fold 2	CV fold 3	CV fold 4	CV fold 5 
1240154	IHH-4	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-6.2379	1	0.026076	1	0	0	0	0 
1240178	ML-1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	-6.1659	1	0.00092011	0	0	0	1	0 
1240223	TT2609-C02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-6.9534	1	0.27607	1	0	0	0	0 
1290722	ASH-3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-6.9626	1	0.27929	0	1	0	0	0 
906696	BHT-101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.2055	0	-0.067807	0	0	0	1	0 
906795	8305C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.2433	0	-0.031863	0	0	0	1	0 
906828	CAL-62	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	-4.508	0	-0.057329	0	0	1	0	0 
906864	FTC-133	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7192	0	-0.23838	0	1	0	0	0 
910568	CGTH-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-6.1686	1	0.0018686	0	0	0	0	1 
924102	8505C	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-7.3533	1	0.41578	0	0	1	0	0 
924104	BCPAP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-5.9366	0	-0.0078483	0	0	0	0	1 
924151	HTC-C3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-4.0594	0	-0.072867	1	0	0	0	0 
924238	K5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.92436	0	-0.18145	0	0	1	0	0 
930083	RO82-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1.467	0	-0.16266	0	0	0	0	1 
930299	TT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.97215	0	-0.1798	0	1	0	0	0 
