Model	ModelDescription	CVError	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1101	NRAS 	 0.5	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27768	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1111	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.22059	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1121	NF2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.2752	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1131	NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.41277	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1141	NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.29238	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1151	NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.30387	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1201	NRAS 	 0.5	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27768	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1202	¬KRAS  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.24901	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1203	NRAS  & ¬EP300 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.26205	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1204	¬d(FANCG,PAX5)  & NRAS 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.18824	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1205	¬NF1  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	1/0.15895	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1206	¬d19p12  & NRAS 	NA	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27814	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1207	NRAS  & ¬d13q14.2 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27814	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1208	¬BRAF  & NRAS 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	1/0.31769	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1209	¬CREBBP  & NRAS 	NA	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	1/0.26205	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 12010	NRAS  & ¬TGFB-DOWN 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.24901	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0 /NaN 
Model 12011	NRAS  & ¬TGFB-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27861	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0 /NaN 
Model 12012	NRAS  & ¬H2O2-UP 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.19635	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
