Cell line ID	Cell line name	Model 1101	Model 1111	Model 1121	Model 1131	Model 1141	Model 1151	Model 1201	Model 1202	Model 1203	Model 1204	Model 1205	Model 1206	Model 1207	Model 1208	Model 1209	Model 12010	Model 1211	Model 1212	Model 1213	Model 1214	Model 1215	Model 1216	Model 1217	Model 1218	Model 1219	Model 12110	Model 12111	Model 1221	Model 1222	Model 1223	Model 1224	Model 1225	Model 1226	Model 1227	Model 1228	Model 1229	Model 12210	Model 12211	Model 1231	Model 1232	Model 1233	Model 1234	Model 1235	Model 1236	Model 1237	Model 1238	Model 1239	Model 12310	Model 12311	Model 1241	Model 1242	Model 1243	Model 1244	Model 1245	Model 1246	Model 1247	Model 1248	Model 1249	Model 12410	Model 12411	Model 1251	Model 1252	Model 1253	Model 1254	Model 1255	Model 1256	Model 1257	Model 1258	Model 1259	Model 12510	Model 1301	Model 1302	Model 1303	Model 1304	Model 1305	Model 1306	Model 1307	Model 1308	Model 1311	Model 1312	Model 1313	Model 1314	Model 1315	Model 1316	Model 1317	Model 1318	Model 1319	Model 13110	Model 13111	Model 1321	Model 1322	Model 1323	Model 1324	Model 1325	Model 1326	Model 1327	Model 1328	Model 1329	Model 13210	Model 13211	Model 1331	Model 1332	Model 1333	Model 1334	Model 1335	Model 1336	Model 1337	Model 1341	Model 1342	Model 1343	Model 1344	Model 1345	Model 1346	Model 1347	Model 1348	Model 1349	Model 13410	Model 1351	Model 1352	Model 1353	Model 1354	Model 1355	Model 1356	Model 1357	Model 1358	Model 1401	Model 1402	Model 1403	Model 1404	Model 1405	Model 1406	Model 1407	Model 1408	Model 1409	Model 14010	Model 14011	Model 1411	Model 1412	Model 1413	Model 1414	Model 1415	Model 1416	Model 1417	Model 1418	Model 1419	Model 14110	Model 14111	Model 1421	Model 1422	Model 1423	Model 1424	Model 1425	Model 1426	Model 1427	Model 1428	Model 1429	Model 14210	Model 14211	Model 1431	Model 1432	Model 1433	Model 1434	Model 1435	Model 1436	Model 1437	Model 1441	Model 1442	Model 1443	Model 1444	Model 1445	Model 1446	Model 1447	Model 1448	Model 1451	Model 1452	Model 1453	Model 1454	Model 1455	Model 1456	Model 1457	Model 1458	Model 1459	Model 14510	Model 2101	Model 2102	Model 2103	Model 2111	Model 2112	Model 2113	Model 2114	Model 2115	Model 2116	Model 2117	Model 2118	Model 2119	Model 21110	Model 21111	Model 2121	Model 2122	Model 2123	Model 2124	Model 2125	Model 2126	Model 2127	Model 2128	Model 2129	Model 21210	Model 21211	Model 2131	Model 2132	Model 2133	Model 2134	Model 2135	Model 2136	Model 2137	Model 2138	Model 2139	Model 21310	Model 21311	Model 2141	Model 2142	Model 2143	Model 2144	Model 2145	Model 2146	Model 2147	Model 2148	Model 2149	Model 21410	Model 21411	Model 2151	Model 2152	Model 2153	Model 2154	Model 2155	Model 2156	Model 2157	Model 2158	Model 2159	Model 21510	Model 21511	Model 2201	Model 2202	Model 2203	Model 2204	Model 2205	Model 2206	Model 2211	Model 2212	Model 2213	Model 2221	Model 2231	Model 2232	Model 2233	Model 2234	Model 2241	Model 2242	Model 2243	Model 2244	Model 2245	Model 2246	Model 2247	Model 2248	Model 2249	Model 2251	Model 2252	Model 2253	Model 2254	Model 2255	Model 2256	Model 2257	Model 2258	Model 2259	Model 22510	Model 22511	Model 3101	Model 3102	Model 3103	Model 3104	Model 3105	Model 3106	Model 3107	Model 3108	Model 3109	Model 31010	Model 31011	Model 3111	Model 3112	Model 3113	Model 3114	Model 3115	Model 3116	Model 3117	Model 3121	Model 3122	Model 3123	Model 3124	Model 3125	Model 3126	Model 3127	Model 3128	Model 3129	Model 31210	Model 31211	Model 3131	Model 3132	Model 3133	Model 3134	Model 3135	Model 3136	Model 3137	Model 3138	Model 3139	Model 31310	Model 31311	Model 3141	Model 3142	Model 3143	Model 3144	Model 3145	Model 3146	Model 3147	Model 3148	Model 3149	Model 31410	Model 3151	Model 3152	Model 3153	Model 3154	Model 3155	Model 3156	Model 3157	Model 3158	Model 3159	Model 31510	Model 31511	Model 4101	Model 4102	Model 4103	Model 4104	Model 4105	Model 4106	Model 4107	Model 4108	Model 4109	Model 41010	Model 41011	Model 4111	Model 4112	Model 4113	Model 4114	Model 4115	Model 4116	Model 4117	Model 4118	Model 4119	Model 41110	Model 41111	Model 4121	Model 4122	Model 4123	Model 4124	Model 4125	Model 4126	Model 4127	Model 4128	Model 4129	Model 41210	Model 41211	Model 4131	Model 4132	Model 4133	Model 4134	Model 4135	Model 4136	Model 4137	Model 4138	Model 4139	Model 41310	Model 41311	Model 4141	Model 4142	Model 4143	Model 4144	Model 4145	Model 4146	Model 4147	Model 4148	Model 4149	Model 41410	Model 41411	Model 4151	Model 4152	Model 4153	Model 4154	Model 4155	Model 4156	Model 4157	Model 4158	Model 4159	Model 41510	Model 41511 
1240121	BICR22	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
1240122	BICR78	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
1240123	CCK-81	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1												1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1								1	1	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0												1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1 
1240124	CL-40	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
1240125	COLO-783	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0												1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1												1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	1												1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0 
1240127	EN	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0 
1240128	ES-2	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											 
1240129	FU-OV-1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
1240131	H2591	1	1		1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1												1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1												1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0												1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1												1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1												1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1												1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1 
1240132	H2595	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											 
