		PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
																					 
Model 1101	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
CV error: 0.5	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1111	TGFB-UP 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.2242	NaN	NaN	NaN 
																					 
Model 1121	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25999	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1131	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25259	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1141	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.29976	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1151	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.25086	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1201	昧RAS  & NF2 	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0 
CV error: 0.5	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0.19404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1202	NF2 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.217	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1203	昧F1  & NF2 	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	NaN	NaN	NaN	NaN	NaN	0	NaN	0.070996	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1204	星TEN  & NF2 	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.17998	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1205	查19p12  & NF2 	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
	Feature Importance Scores:	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0.14138	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN 
																					 
Model 1206	查(FANCG,PAX5)  & NF2 	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0 
