Cell line ID	Cell line name	Model 1101	Model 1111	Model 1121	Model 1122	Model 1131	Model 1141	Model 1151	Model 1201	Model 1202	Model 1203	Model 1204	Model 1211	Model 1221	Model 1231	Model 1232	Model 1241	Model 1242	Model 1243	Model 1251	Model 1252	Model 1253	Model 1301	Model 1302	Model 1311	Model 1312	Model 1313	Model 1314	Model 1315	Model 1316	Model 1317	Model 1321	Model 1322	Model 1331	Model 1332	Model 1333	Model 1334	Model 1335	Model 1336	Model 1337	Model 1341	Model 1342	Model 1343	Model 1344	Model 1345	Model 1346	Model 1347	Model 1351	Model 1352	Model 1353	Model 1354	Model 1355	Model 1356	Model 1357	Model 1358	Model 1359	Model 1401	Model 1402	Model 1403	Model 1404	Model 1405	Model 1411	Model 1412	Model 1413	Model 1414	Model 1415	Model 1416	Model 1417	Model 1418	Model 1421	Model 1422	Model 1423	Model 1424	Model 1425	Model 1426	Model 1427	Model 1428	Model 1429	Model 14210	Model 1431	Model 1432	Model 1433	Model 1434	Model 1435	Model 1436	Model 1441	Model 1442	Model 1443	Model 1444	Model 1445	Model 1446	Model 1447	Model 1451	Model 1452	Model 1453	Model 1454	Model 1455	Model 1456	Model 1457	Model 1458	Model 1459	Model 14510	Model 14511	Model 2101	Model 2102	Model 2103	Model 2111	Model 2112	Model 2113	Model 2114	Model 2121	Model 2122	Model 2123	Model 2131	Model 2132	Model 2133	Model 2134	Model 2135	Model 2136	Model 2141	Model 2142	Model 2143	Model 2144	Model 2145	Model 2146	Model 2151	Model 2152	Model 2201	Model 2202	Model 2203	Model 2211	Model 2212	Model 2213	Model 2221	Model 2222	Model 2231	Model 2232	Model 2241	Model 2242	Model 2243	Model 2244	Model 2251	Model 2252	Model 2253	Model 3101	Model 3102	Model 3103	Model 3104	Model 3105	Model 3106	Model 3107	Model 3108	Model 3109	Model 31010	Model 3111	Model 3112	Model 3113	Model 3114	Model 3115	Model 3116	Model 3117	Model 3118	Model 3119	Model 3121	Model 3122	Model 3123	Model 3124	Model 3125	Model 3126	Model 3127	Model 3131	Model 3132	Model 3133	Model 3134	Model 3135	Model 3136	Model 3137	Model 3138	Model 3139	Model 3141	Model 3142	Model 3143	Model 3144	Model 3145	Model 3146	Model 3147	Model 3148	Model 3149	Model 3151	Model 3152	Model 3153	Model 3154	Model 3155	Model 3156	Model 3157	Model 4101	Model 4102	Model 4111	Model 4112	Model 4113	Model 4114	Model 4115	Model 4116	Model 4117	Model 4118	Model 4119	Model 41110	Model 4121	Model 4122	Model 4131	Model 4132	Model 4133	Model 4134	Model 4135	Model 4136	Model 4137	Model 4138	Model 4139	Model 4141	Model 4142	Model 4143	Model 4144	Model 4145	Model 4146	Model 4147	Model 4148	Model 4151	Model 4152	Model 4153 
1240128	ES-2	0	0	0	0	0		0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0 
1240166	KYM-1	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	0								0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1									1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1					1	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0				1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1										0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1											1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1 
1240173	MDST8	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0							0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0										0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0 
1240181	NB(TU)1-10	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0										1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0											1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0 
1240182	NCI-H1836	0	0			0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1			0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0			0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 
1240183	NCI-H1869	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0			 
1240189	NCI-H211	0	0	0	0	0		0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1							0	0	0	0	0	0	1	0	0	0	0	0					0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	0										0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1									0	0	0 
1240193	NCI-H847	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0										0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0											0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0 
1240221	TC-71	0	0	0	1	0		0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1							0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0									0	0	0 
1247871	SUP-B15	0	0	0	0	0		0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0							1	0	0	0	0	0	0	0	0	0	1	0					0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0										1	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0									1	1	1 
