Cell line ID	Cell line name	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN	ln IC50s	Class label (y)	Weight vector (w)	CV fold 1	CV fold 2	CV fold 3	CV fold 4	CV fold 5 
1240154	IHH-4	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-1.327	1	0.15977	0	1	0	0	0 
1240178	ML-1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0.60874	0	-0.15124	0	0	1	0	0 
1240223	TT2609-C02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.25437	0	-0.11266	0	0	1	0	0 
1290722	ASH-3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-1.0087	1	0.066726	0	0	0	0	1 
906696	BHT-101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84157	1	0.017885	0	0	1	0	0 
906795	8305C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42739	0	-0.1315	1	0	0	0	0 
906828	CAL-62	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	-1.5212	1	0.21654	1	0	0	0	0 
906864	FTC-133	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51262	0	-0.14077	0	0	0	1	0 
910568	CGTH-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1.8806	1	0.32161	0	0	0	1	0 
924102	8505C	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-1.5244	1	0.21747	1	0	0	0	0 
924104	BCPAP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.13559	0	-0.070202	0	1	0	0	0 
924151	HTC-C3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0.14436	0	-0.10068	0	1	0	0	0 
924238	K5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.62222	0	-0.01722	0	0	0	0	1 
930083	RO82-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.043939	0	-0.089747	0	0	0	1	0 
930299	TT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92786	0	-0.18598	0	0	0	0	1 
