Cell line ID	Cell line name	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN	ln IC50s	Class label (y)	Weight vector (w)	CV fold 1	CV fold 2	CV fold 3	CV fold 4	CV fold 5 
1240154	IHH-4	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	-5.8749	1	0.14601	0	0	1	0	0 
1240178	ML-1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	-1.8776	0	-0.045388	0	0	0	0	1 
1240223	TT2609-C02	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.38175	0	-0.29919	0	1	0	0	0 
1290722	ASH-3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	-4.9843	1	0.11115	1	0	0	0	0 
906696	BHT-101	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.3912	1	0.16622	0	0	0	1	0 
906795	8305C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.4096	1	0.049505	0	1	0	0	0 
906828	CAL-62	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	-4.0032	1	0.072742	0	0	0	0	1 
906864	FTC-133	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.1577	0	-0.16752	0	0	1	0	0 
910568	CGTH-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-3.5171	1	0.053712	0	1	0	0	0 
924102	8505C	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-3.3955	1	0.048953	0	0	1	0	0 
924104	BCPAP	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-3.937	1	0.07015	0	0	0	0	1 
924151	HTC-C3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	-5.4375	1	0.12889	0	0	0	1	0 
924238	K5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-6.0447	1	0.15266	1	0	0	0	0 
930083	RO82-W-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-2.1428	0	-0.00037742	0	0	0	1	0 
930299	TT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72826	0	-0.48752	1	0	0	0	0 
