Model	ModelDescription	CVError	PTEN	d19p12	d(FANCG,PAX5)	CREBBP	KRAS	BRAF	NF1	NRAS	NF2	CDKN2A	EP300	PIK3CA	SMARCA4	d13q14.2	H2O2-UP	IL-1-UP	TGFB-UP	PI3K_only-DOWN	TGFB-DOWN	Wnt-DOWN 
Model 1101	BRAF 	 0.1188	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3812	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1111	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.48831	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1121	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.44623	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1131	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.34652	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1141	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.27414	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1151	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.38209	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1201	BRAF  & ¬NRAS 	 0.1188	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.28718	0/NaN	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1202	BRAF 	NA	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	1/0.3812	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1203	¬PTEN  & BRAF 	NA	-1/0	0/NaN	0/NaN	0/NaN	0/NaN	1/0.35301	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
Model 1204	¬d(FANCG,PAX5)  & BRAF 	NA	0/NaN	0/NaN	-1/0	0/NaN	0/NaN	1/0.11474	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0/NaN	0 /NaN 
