Cellline	breast	urogenital_system	bone	skin	pancreas	digestive_system	blood	thyroid	lung	kidney	soft_tissue	nervous_system	aero_digestive_tract
RERF-LC-MS	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
ES1	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A549	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
KOSC-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin
Daoy	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
NCI-H650	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
PANC-10-05	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA
Raji	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
C2BBe1	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA
MG-63	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCLC-21H	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
LOXIMVI	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA
KARPAS-45	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
T98G	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
NB13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
NKM-1	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
NCI-H64	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
LB373-MEL-D	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA
A673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA
Mewo	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA
SK-MEL-30	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA
KS-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
TE-441-T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA
EW-22	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BE-13	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
C3A	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA
CHP-134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
SK-MEL-28	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAL-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin
639-V	NA	Origin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLE	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA	NA
NCI-H2170	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
NB69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
THP-1	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
GCT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA
MC-IXC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA
769-P	NA	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA
NCI-H1650	NA	NA	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA
RS4-11	NA	NA	NA	NA	NA	NA	Origin	NA	NA	NA	NA	NA	NA
